ID,Problem Description,Domain
668,Problem reported in Swimming Pools Safety area at Hill Valley causing inconvenience.,Swimming Pools Safety
669,Problem reported in Water Quality area at Sector 9 causing inconvenience.,Water Quality
670,Problem reported in Illegal Dumping area at West Park causing inconvenience.,Illegal Dumping
671,Problem reported in Street Repairs area at Main Street causing inconvenience.,Street Repairs
672,Cracks and damage visible on North End highway.,Roads
673,Problem reported in Water Quality area at Park Avenue causing inconvenience.,Water Quality
674,Problem reported in Public Art area at West Park causing inconvenience.,Public Art
675,Problem reported in Public Markets area at MG Road causing inconvenience.,Public Markets
676,Problem reported in Public Libraries area at Old Town causing inconvenience.,Public Libraries
677,Problem reported in Public Events Noise area at Park Avenue causing inconvenience.,Public Events Noise
678,Problem reported in Building Permits area at Riverbank causing inconvenience.,Building Permits
679,Problem reported in Public Libraries area at Park Avenue causing inconvenience.,Public Libraries
680,Problem reported in Urban Planning area at Main Street causing inconvenience.,Urban Planning
681,Problem reported in Street Closures area at Downtown causing inconvenience.,Street Closures
682,Problem reported in Disaster Management area at Main Street causing inconvenience.,Disaster Management
683,Problem reported in Public Transport Maintenance area at Main Street causing inconvenience.,Public Transport Maintenance
684,Problem reported in Pavement Markings area at Hill Valley causing inconvenience.,Pavement Markings
685,Problem reported in Fire Safety area at Riverbank causing inconvenience.,Fire Safety
686,Problem reported in Construction Noise area at MG Road causing inconvenience.,Construction Noise
687,Problem reported in Schools area at Riverbank causing inconvenience.,Schools
688,Problem reported in Recycling Services area at Sector 9 causing inconvenience.,Recycling Services
689,Problem reported in Road Accidents area at Main Street causing inconvenience.,Road Accidents
690,Problem reported in Street Furniture area at Riverbank causing inconvenience.,Street Furniture
691,Problem reported in Electric Billing area at North End causing inconvenience.,Electric Billing
692,Problem reported in Swimming Pools Safety area at Riverbank causing inconvenience.,Swimming Pools Safety
693,Problem reported in Snow Removal area at Sector 9 causing inconvenience.,Snow Removal
694,Problem reported in Public Art area at Riverbank causing inconvenience.,Public Art
695,Problem reported in Parks and Recreation area at West Park causing inconvenience.,Parks and Recreation
696,Problem reported in Public Schools Maintenance area at Park Avenue causing inconvenience.,Public Schools Maintenance
697,Problem reported in Street Furniture area at Park Avenue causing inconvenience.,Street Furniture
698,Problem reported in Potholes area at Hill Valley causing inconvenience.,Potholes
699,Problem reported in Water Quality area at West Park causing inconvenience.,Water Quality
700,Problem reported in Flooding area at Main Street causing inconvenience.,Flooding
701,Problem reported in Water Quality area at MG Road causing inconvenience.,Water Quality
702,Problem reported in Rodent Control area at West Park causing inconvenience.,Rodent Control
703,Problem reported in Street Closures area at Park Avenue causing inconvenience.,Street Closures
704,Problem reported in Building Maintenance area at Main Street causing inconvenience.,Building Maintenance
705,Problem reported in Police area at MG Road causing inconvenience.,Police
706,Problem reported in Water Leak Detection area at Sector 9 causing inconvenience.,Water Leak Detection
707,Problem reported in Bridge Maintenance area at Old Town causing inconvenience.,Bridge Maintenance
708,Problem reported in Street Repairs area at Riverbank causing inconvenience.,Street Repairs
709,Problem reported in Street Performers area at Hill Valley causing inconvenience.,Street Performers
710,Problem reported in Public Toilets area at Sector 9 causing inconvenience.,Public Toilets
711,Problem reported in Public Art area at MG Road causing inconvenience.,Public Art
712,Problem reported in Street Cleaning Schedule area at MG Road causing inconvenience.,Street Cleaning Schedule
713,Problem reported in Street Furniture area at Riverbank causing inconvenience.,Street Furniture
714,Problem reported in Urban Planning area at Old Town causing inconvenience.,Urban Planning
715,Problem reported in Street Closures area at Downtown causing inconvenience.,Street Closures
716,Problem reported in Water Leak Detection area at West Park causing inconvenience.,Water Leak Detection
717,Problem reported in Public Playground Safety area at Park Avenue causing inconvenience.,Public Playground Safety
718,Problem reported in Public Parking Enforcement area at Downtown causing inconvenience.,Public Parking Enforcement
719,Problem reported in Electric Billing area at Old Town causing inconvenience.,Electric Billing
720,Problem reported in Stormwater Management area at North End causing inconvenience.,Stormwater Management
721,Problem reported in Rodent Control area at Sector 9 causing inconvenience.,Rodent Control
722,Problem reported in Air Pollution area at North End causing inconvenience.,Air Pollution
723,Problem reported in Recycling Services area at Old Town causing inconvenience.,Recycling Services
724,Problem reported in Pavement Markings area at Hill Valley causing inconvenience.,Pavement Markings
725,Problem reported in Traffic Enforcement area at Downtown causing inconvenience.,Traffic Enforcement
726,Problem reported in Traffic Signals area at MG Road causing inconvenience.,Traffic Signals
727,Problem reported in Swimming Pools Safety area at Park Avenue causing inconvenience.,Swimming Pools Safety
728,Problem reported in Public Events Noise area at Main Street causing inconvenience.,Public Events Noise
729,Problem reported in Construction Noise area at Riverbank causing inconvenience.,Construction Noise
730,Problem reported in Stormwater Management area at Downtown causing inconvenience.,Stormwater Management
731,Problem reported in Street Drainage area at Hill Valley causing inconvenience.,Street Drainage
732,Problem reported in Illegal Dumping area at Park Avenue causing inconvenience.,Illegal Dumping
733,Problem reported in Road Accidents area at Sector 9 causing inconvenience.,Road Accidents
734,Problem reported in Community Centers area at Downtown causing inconvenience.,Community Centers
735,Problem reported in Drainage area at Riverbank causing inconvenience.,Drainage
736,Problem reported in Water Quality area at Hill Valley causing inconvenience.,Water Quality
737,Problem reported in Public Parking Enforcement area at Riverbank causing inconvenience.,Public Parking Enforcement
738,Problem reported in Cemeteries area at MG Road causing inconvenience.,Cemeteries
739,Problem reported in Cemeteries area at Sector 9 causing inconvenience.,Cemeteries
740,Problem reported in Bike Lanes area at Park Avenue causing inconvenience.,Bike Lanes
741,Problem reported in Public Transport area at MG Road causing inconvenience.,Public Transport
742,Problem reported in Street Furniture Maintenance area at North End causing inconvenience.,Street Furniture Maintenance
743,Problem reported in Animal Control area at Sector 9 causing inconvenience.,Animal Control
744,Problem reported in Parks and Recreation area at MG Road causing inconvenience.,Parks and Recreation
745,Problem reported in Street Furniture Maintenance area at Main Street causing inconvenience.,Street Furniture Maintenance
746,Problem reported in Public Playground Safety area at Park Avenue causing inconvenience.,Public Playground Safety
747,Problem reported in Drainage area at Riverbank causing inconvenience.,Drainage
748,Problem reported in Bike Sharing Services area at Hill Valley causing inconvenience.,Bike Sharing Services
749,Problem reported in Bike Lanes area at Sector 9 causing inconvenience.,Bike Lanes
750,Problem reported in Sidewalk Repair area at Main Street causing inconvenience.,Sidewalk Repair
751,Problem reported in Rodent Control area at Riverbank causing inconvenience.,Rodent Control
752,Problem reported in Bridge Maintenance area at North End causing inconvenience.,Bridge Maintenance
753,Problem reported in Permit Issuance area at Old Town causing inconvenience.,Permit Issuance
754,Problem reported in Energy Conservation area at North End causing inconvenience.,Energy Conservation
755,Problem reported in Street Lighting Maintenance area at Main Street causing inconvenience.,Street Lighting Maintenance
756,Problem reported in Homeless Shelters area at Main Street causing inconvenience.,Homeless Shelters
757,Problem reported in Illegal Dumping area at Sector 9 causing inconvenience.,Illegal Dumping
758,Problem reported in Public Parking Enforcement area at Main Street causing inconvenience.,Public Parking Enforcement
759,Problem reported in Zoning area at MG Road causing inconvenience.,Zoning
760,Problem reported in Bike Lanes area at Downtown causing inconvenience.,Bike Lanes
761,Problem reported in Water Billing area at Downtown causing inconvenience.,Water Billing
762,Problem reported in Bike Lanes area at West Park causing inconvenience.,Bike Lanes
763,Problem reported in Water Billing area at North End causing inconvenience.,Water Billing
764,Problem reported in Disaster Management area at MG Road causing inconvenience.,Disaster Management
765,Problem reported in Parking area at Old Town causing inconvenience.,Parking
766,Problem reported in Bike Sharing Services area at Sector 9 causing inconvenience.,Bike Sharing Services
767,Illegal dumping found near MG Road park.,Garbage
768,Problem reported in Traffic area at Main Street causing inconvenience.,Traffic
769,Problem reported in Drainage area at Sector 9 causing inconvenience.,Drainage
770,Problem reported in Street Cleaning area at Main Street causing inconvenience.,Street Cleaning
771,Problem reported in Street Sign Maintenance area at Downtown causing inconvenience.,Street Sign Maintenance
772,Problem reported in Public Markets area at Hill Valley causing inconvenience.,Public Markets
773,Problem reported in Water Leak Detection area at Downtown causing inconvenience.,Water Leak Detection
774,Problem reported in Street Furniture Maintenance area at Main Street causing inconvenience.,Street Furniture Maintenance
775,Problem reported in Flooding area at West Park causing inconvenience.,Flooding
776,Problem reported in Water Billing area at Main Street causing inconvenience.,Water Billing
777,Problem reported in Rodent Control area at Park Avenue causing inconvenience.,Rodent Control
778,Problem reported in Street Repairs area at Downtown causing inconvenience.,Street Repairs
779,Problem reported in Water Metering area at MG Road causing inconvenience.,Water Metering
780,Problem reported in Animal Shelters area at Downtown causing inconvenience.,Animal Shelters
781,Problem reported in Tree Maintenance area at Downtown causing inconvenience.,Tree Maintenance
782,Problem reported in Sewage area at Park Avenue causing inconvenience.,Sewage
783,Problem reported in Waste Management area at North End causing inconvenience.,Waste Management
784,Problem reported in Building Maintenance area at North End causing inconvenience.,Building Maintenance
785,Problem reported in Flooding area at Main Street causing inconvenience.,Flooding
786,Problem reported in Water Quality area at Main Street causing inconvenience.,Water Quality
787,Problem reported in Graffiti area at Downtown causing inconvenience.,Graffiti
788,Problem reported in Street Repairs area at North End causing inconvenience.,Street Repairs
789,Problem reported in Street Sign Maintenance area at Hill Valley causing inconvenience.,Street Sign Maintenance
790,Problem reported in Street Furniture area at Park Avenue causing inconvenience.,Street Furniture
791,Problem reported in Noise Pollution area at Sector 9 causing inconvenience.,Noise Pollution
792,Problem reported in Street Vendors area at Downtown causing inconvenience.,Street Vendors
793,Problem reported in Bus Schedules area at North End causing inconvenience.,Bus Schedules
794,Problem reported in Street Lighting area at Old Town causing inconvenience.,Street Lighting
795,Problem reported in Parking area at North End causing inconvenience.,Parking
796,Problem reported in Traffic Enforcement area at MG Road causing inconvenience.,Traffic Enforcement
797,Problem reported in Sidewalk Repair area at Sector 9 causing inconvenience.,Sidewalk Repair
798,Problem reported in Water Leak Detection area at Old Town causing inconvenience.,Water Leak Detection
799,Problem reported in Street Cleaning area at West Park causing inconvenience.,Street Cleaning
800,Problem reported in Animal Control area at Sector 9 causing inconvenience.,Animal Control
801,Problem reported in Animal Control area at Main Street causing inconvenience.,Animal Control
802,Problem reported in Bike Lanes area at North End causing inconvenience.,Bike Lanes
803,Problem reported in Waste Management area at Park Avenue causing inconvenience.,Waste Management
804,Problem reported in Street Cleaning area at West Park causing inconvenience.,Street Cleaning
805,Problem reported in Street Performers area at Downtown causing inconvenience.,Street Performers
806,Problem reported in Public Libraries area at Old Town causing inconvenience.,Public Libraries
807,Problem reported in Street Repairs area at MG Road causing inconvenience.,Street Repairs
808,Problem reported in City Planning area at Downtown causing inconvenience.,City Planning
809,Problem reported in Street Vendors area at Old Town causing inconvenience.,Street Vendors
810,Problem reported in Waste Management area at Downtown causing inconvenience.,Waste Management
811,Cracks and damage visible on North End highway.,Roads
812,Problem reported in Street Vendors area at Main Street causing inconvenience.,Street Vendors
813,Problem reported in Building Permits area at Main Street causing inconvenience.,Building Permits
814,Problem reported in Bridge Maintenance area at Sector 9 causing inconvenience.,Bridge Maintenance
815,Problem reported in Swimming Pools Safety area at Downtown causing inconvenience.,Swimming Pools Safety
816,Problem reported in Disaster Management area at Park Avenue causing inconvenience.,Disaster Management
817,Problem reported in Sewer Maintenance area at Park Avenue causing inconvenience.,Sewer Maintenance
818,Problem reported in Sidewalks area at North End causing inconvenience.,Sidewalks
819,Problem reported in Street Lighting Maintenance area at MG Road causing inconvenience.,Street Lighting Maintenance
820,Problem reported in Parks Lighting area at Hill Valley causing inconvenience.,Parks Lighting
821,Problem reported in Public Toilets area at Downtown causing inconvenience.,Public Toilets
822,Problem reported in Fire Safety area at West Park causing inconvenience.,Fire Safety
823,Problem reported in Street Cleaning area at North End causing inconvenience.,Street Cleaning
824,Problem reported in Graffiti area at West Park causing inconvenience.,Graffiti
825,Problem reported in Flooding area at Park Avenue causing inconvenience.,Flooding
826,Problem reported in Water Metering area at West Park causing inconvenience.,Water Metering
827,Problem reported in Public Events Noise area at Park Avenue causing inconvenience.,Public Events Noise
828,Problem reported in Public Landscaping area at MG Road causing inconvenience.,Public Landscaping
829,Problem reported in Sewage area at Hill Valley causing inconvenience.,Sewage
830,No water supply since morning in Sector 9.,Water Supply
831,Problem reported in Public Events Noise area at Old Town causing inconvenience.,Public Events Noise
832,Problem reported in Electric Billing area at Park Avenue causing inconvenience.,Electric Billing
833,Problem reported in Waste Management area at Riverbank causing inconvenience.,Waste Management
834,Problem reported in Noise Pollution area at Sector 9 causing inconvenience.,Noise Pollution
835,Problem reported in Water Metering area at West Park causing inconvenience.,Water Metering
836,Problem reported in Illegal Dumping area at North End causing inconvenience.,Illegal Dumping
837,Problem reported in Noise Pollution area at North End causing inconvenience.,Noise Pollution
838,Problem reported in Drainage area at North End causing inconvenience.,Drainage
839,Problem reported in Public Pools area at Riverbank causing inconvenience.,Public Pools
840,Problem reported in Public Pools area at Park Avenue causing inconvenience.,Public Pools
841,Problem reported in Public Toilets area at MG Road causing inconvenience.,Public Toilets
842,Problem reported in Electric Billing area at Riverbank causing inconvenience.,Electric Billing
843,Problem reported in Fire Safety area at Hill Valley causing inconvenience.,Fire Safety
844,Problem reported in Drainage area at Downtown causing inconvenience.,Drainage
845,Problem reported in Electric Billing area at Park Avenue causing inconvenience.,Electric Billing
846,Problem reported in Tree Maintenance area at Main Street causing inconvenience.,Tree Maintenance
847,Problem reported in Street Drainage area at Riverbank causing inconvenience.,Street Drainage
848,Problem reported in Water Leak Detection area at West Park causing inconvenience.,Water Leak Detection
849,Problem reported in Sewer Maintenance area at Park Avenue causing inconvenience.,Sewer Maintenance
850,Problem reported in Recycling Services area at Hill Valley causing inconvenience.,Recycling Services
851,Problem reported in Swimming Pools Safety area at MG Road causing inconvenience.,Swimming Pools Safety
852,Problem reported in Animal Shelters area at Sector 9 causing inconvenience.,Animal Shelters
853,Problem reported in Sidewalk Repair area at Old Town causing inconvenience.,Sidewalk Repair
854,Problem reported in Construction Noise area at Sector 9 causing inconvenience.,Construction Noise
855,Problem reported in Public Parking Enforcement area at Downtown causing inconvenience.,Public Parking Enforcement
856,Problem reported in Street Sweeping area at Old Town causing inconvenience.,Street Sweeping
857,Problem reported in Building Permits area at Sector 9 causing inconvenience.,Building Permits
858,Problem reported in Parks and Recreation area at Sector 9 causing inconvenience.,Parks and Recreation
859,Problem reported in Fire Safety area at Sector 9 causing inconvenience.,Fire Safety
860,Problem reported in Building Permits area at Sector 9 causing inconvenience.,Building Permits
861,Problem reported in Public Health Clinics area at Main Street causing inconvenience.,Public Health Clinics
862,Problem reported in Energy Conservation area at Park Avenue causing inconvenience.,Energy Conservation
863,Problem reported in Traffic Enforcement area at Hill Valley causing inconvenience.,Traffic Enforcement
864,Problem reported in Public Toilets area at Riverbank causing inconvenience.,Public Toilets
865,Problem reported in Public Playground Safety area at Sector 9 causing inconvenience.,Public Playground Safety
866,Problem reported in Road Accidents area at Riverbank causing inconvenience.,Road Accidents
867,Frequent power fluctuations damaging appliances in Old Town.,Electricity
868,Problem reported in Air Pollution area at Downtown causing inconvenience.,Air Pollution
869,Problem reported in Construction Noise area at Hill Valley causing inconvenience.,Construction Noise
870,Problem reported in Street Performers area at Old Town causing inconvenience.,Street Performers
871,Problem reported in Building Permits area at West Park causing inconvenience.,Building Permits
872,Problem reported in Bus Schedules area at Sector 9 causing inconvenience.,Bus Schedules
873,Problem reported in Potholes area at West Park causing inconvenience.,Potholes
874,Problem reported in Building Maintenance area at Hill Valley causing inconvenience.,Building Maintenance
875,Problem reported in Public Landscaping area at Hill Valley causing inconvenience.,Public Landscaping
876,Problem reported in Building Maintenance area at Main Street causing inconvenience.,Building Maintenance
877,Problem reported in Animal Shelters area at Hill Valley causing inconvenience.,Animal Shelters
878,Problem reported in Police area at Old Town causing inconvenience.,Police
879,Problem reported in Sewage area at Park Avenue causing inconvenience.,Sewage
880,Problem reported in Cemeteries area at Sector 9 causing inconvenience.,Cemeteries
881,Problem reported in Electric Billing area at Park Avenue causing inconvenience.,Electric Billing
882,Problem reported in Bus Stops area at Downtown causing inconvenience.,Bus Stops
883,Problem reported in Bus Schedules area at Sector 9 causing inconvenience.,Bus Schedules
884,Problem reported in Street Vendors area at Hill Valley causing inconvenience.,Street Vendors
885,Problem reported in Graffiti Removal area at Main Street causing inconvenience.,Graffiti Removal
886,Problem reported in Rodent Control area at Old Town causing inconvenience.,Rodent Control
887,Large potholes on Sector 9 road making driving unsafe.,Roads
888,Problem reported in Water Metering area at Riverbank causing inconvenience.,Water Metering
889,Problem reported in Animal Control area at Hill Valley causing inconvenience.,Animal Control
890,Problem reported in Monuments area at North End causing inconvenience.,Monuments
891,Problem reported in Sewer Maintenance area at Park Avenue causing inconvenience.,Sewer Maintenance
892,Problem reported in Street Sweeping area at Old Town causing inconvenience.,Street Sweeping
893,Road needs urgent repair on Riverbank street.,Roads
894,Problem reported in Construction Noise area at Main Street causing inconvenience.,Construction Noise
895,Problem reported in Bus Schedules area at West Park causing inconvenience.,Bus Schedules
896,Problem reported in Bus Schedules area at Old Town causing inconvenience.,Bus Schedules
897,Problem reported in Water Leak Detection area at North End causing inconvenience.,Water Leak Detection
898,Problem reported in Bike Sharing Services area at North End causing inconvenience.,Bike Sharing Services
899,Problem reported in Bike Lanes area at Hill Valley causing inconvenience.,Bike Lanes
900,Problem reported in Monuments area at MG Road causing inconvenience.,Monuments
901,Problem reported in Rodent Control area at West Park causing inconvenience.,Rodent Control
902,Problem reported in Sewage area at Hill Valley causing inconvenience.,Sewage
903,Problem reported in Public Transport Maintenance area at West Park causing inconvenience.,Public Transport Maintenance
904,Problem reported in Police area at Sector 9 causing inconvenience.,Police
905,Problem reported in Building Permits area at Riverbank causing inconvenience.,Building Permits
906,Problem reported in Tree Maintenance area at Main Street causing inconvenience.,Tree Maintenance
907,Problem reported in Police area at West Park causing inconvenience.,Police
908,Problem reported in Road Accidents area at Park Avenue causing inconvenience.,Road Accidents
909,Problem reported in Energy Conservation area at Main Street causing inconvenience.,Energy Conservation
910,Problem reported in Construction Noise area at North End causing inconvenience.,Construction Noise
911,Problem reported in Bus Stops area at Downtown causing inconvenience.,Bus Stops
912,Problem reported in Street Closures area at Old Town causing inconvenience.,Street Closures
913,Problem reported in Permit Issuance area at Park Avenue causing inconvenience.,Permit Issuance
914,Problem reported in Hospitals area at Downtown causing inconvenience.,Hospitals
915,Problem reported in Pavement Markings area at Old Town causing inconvenience.,Pavement Markings
916,Problem reported in Public Health Clinics area at North End causing inconvenience.,Public Health Clinics
917,Problem reported in Permit Issuance area at Hill Valley causing inconvenience.,Permit Issuance
918,Problem reported in Noise Pollution area at Sector 9 causing inconvenience.,Noise Pollution
919,Problem reported in Animal Control area at Park Avenue causing inconvenience.,Animal Control
920,Problem reported in Sidewalks area at North End causing inconvenience.,Sidewalks
921,Problem reported in Water Billing area at West Park causing inconvenience.,Water Billing
922,Problem reported in Pavement Markings area at West Park causing inconvenience.,Pavement Markings
923,Problem reported in Rodent Control area at Park Avenue causing inconvenience.,Rodent Control
924,Problem reported in Road Accidents area at North End causing inconvenience.,Road Accidents
925,Problem reported in Bike Sharing Services area at Riverbank causing inconvenience.,Bike Sharing Services
926,Problem reported in Pavement Markings area at Hill Valley causing inconvenience.,Pavement Markings
927,Problem reported in Pavement Markings area at Sector 9 causing inconvenience.,Pavement Markings
928,Problem reported in Sidewalks area at Park Avenue causing inconvenience.,Sidewalks
929,Problem reported in Public Health Clinics area at MG Road causing inconvenience.,Public Health Clinics
930,Frequent power fluctuations damaging appliances in Main Street.,Electricity
931,Problem reported in Street Vendors area at Old Town causing inconvenience.,Street Vendors
932,Problem reported in Water Billing area at North End causing inconvenience.,Water Billing
933,Problem reported in Electric Billing area at Hill Valley causing inconvenience.,Electric Billing
934,Problem reported in Homeless Shelters area at North End causing inconvenience.,Homeless Shelters
935,Problem reported in Traffic area at North End causing inconvenience.,Traffic
936,Problem reported in Street Furniture Maintenance area at Riverbank causing inconvenience.,Street Furniture Maintenance
937,Problem reported in Street Drainage area at Downtown causing inconvenience.,Street Drainage
938,Problem reported in Permit Issuance area at Main Street causing inconvenience.,Permit Issuance
939,Problem reported in Public Pools area at West Park causing inconvenience.,Public Pools
940,Problem reported in Bike Lanes area at Main Street causing inconvenience.,Bike Lanes
941,Problem reported in Public WiFi area at Old Town causing inconvenience.,Public WiFi
942,Problem reported in Bus Schedules area at Sector 9 causing inconvenience.,Bus Schedules
943,Problem reported in Hospitals area at Old Town causing inconvenience.,Hospitals
944,Problem reported in Public Toilets area at Hill Valley causing inconvenience.,Public Toilets
945,Problem reported in Recycling Services area at West Park causing inconvenience.,Recycling Services
946,Problem reported in City Planning area at MG Road causing inconvenience.,City Planning
947,Problem reported in Public Pools Maintenance area at MG Road causing inconvenience.,Public Pools Maintenance
948,Problem reported in Energy Conservation area at Riverbank causing inconvenience.,Energy Conservation
949,Problem reported in Road Accidents area at Main Street causing inconvenience.,Road Accidents
950,Problem reported in Cemeteries area at Park Avenue causing inconvenience.,Cemeteries
951,Problem reported in Fire Safety area at North End causing inconvenience.,Fire Safety
952,Problem reported in Public WiFi area at Sector 9 causing inconvenience.,Public WiFi
953,Problem reported in Water Metering area at MG Road causing inconvenience.,Water Metering
954,Problem reported in Illegal Dumping area at Downtown causing inconvenience.,Illegal Dumping
955,Problem reported in Bus Schedules area at Old Town causing inconvenience.,Bus Schedules
956,Problem reported in Waste Management area at North End causing inconvenience.,Waste Management
957,Problem reported in Construction Noise area at North End causing inconvenience.,Construction Noise
958,Problem reported in Public Landscaping area at Hill Valley causing inconvenience.,Public Landscaping
959,Problem reported in Pavement Markings area at Main Street causing inconvenience.,Pavement Markings
960,Problem reported in Public Health Clinics area at Downtown causing inconvenience.,Public Health Clinics
961,Problem reported in Public Parking Enforcement area at Old Town causing inconvenience.,Public Parking Enforcement
962,Problem reported in Water Quality area at Downtown causing inconvenience.,Water Quality
963,Problem reported in Police area at Hill Valley causing inconvenience.,Police
964,Problem reported in Graffiti Removal area at Downtown causing inconvenience.,Graffiti Removal
965,Problem reported in Public Landscaping area at Main Street causing inconvenience.,Public Landscaping
966,Problem reported in Public Toilets area at Hill Valley causing inconvenience.,Public Toilets
967,Problem reported in Animal Shelters area at Riverbank causing inconvenience.,Animal Shelters
968,Problem reported in Public Safety area at Downtown causing inconvenience.,Public Safety
969,Problem reported in Public WiFi area at Hill Valley causing inconvenience.,Public WiFi
970,Problem reported in Public Events Noise area at Downtown causing inconvenience.,Public Events Noise
971,Problem reported in Public Pools Maintenance area at Hill Valley causing inconvenience.,Public Pools Maintenance
972,Problem reported in Bike Sharing Services area at Main Street causing inconvenience.,Bike Sharing Services
973,Problem reported in Air Pollution area at Riverbank causing inconvenience.,Air Pollution
974,Problem reported in Street Repairs area at Main Street causing inconvenience.,Street Repairs
975,Problem reported in Animal Control area at Main Street causing inconvenience.,Animal Control
976,Problem reported in Bike Sharing Services area at West Park causing inconvenience.,Bike Sharing Services
977,Problem reported in Swimming Pools Safety area at Park Avenue causing inconvenience.,Swimming Pools Safety
978,Problem reported in Water Billing area at Park Avenue causing inconvenience.,Water Billing
979,Problem reported in Emergency Services area at Old Town causing inconvenience.,Emergency Services
980,Problem reported in Public Safety area at West Park causing inconvenience.,Public Safety
981,Problem reported in Building Codes area at Riverbank causing inconvenience.,Building Codes
982,Problem reported in Road Signs area at Downtown causing inconvenience.,Road Signs
983,Problem reported in Swimming Pools Safety area at Main Street causing inconvenience.,Swimming Pools Safety
984,Problem reported in Police area at Park Avenue causing inconvenience.,Police
985,Problem reported in City Planning area at Main Street causing inconvenience.,City Planning
986,Problem reported in Building Maintenance area at West Park causing inconvenience.,Building Maintenance
987,Problem reported in Monuments area at Old Town causing inconvenience.,Monuments
988,Problem reported in Public Events Noise area at MG Road causing inconvenience.,Public Events Noise
989,Problem reported in Street Cleaning area at Downtown causing inconvenience.,Street Cleaning
990,Problem reported in Street Performers area at Downtown causing inconvenience.,Street Performers
991,Problem reported in Parking area at MG Road causing inconvenience.,Parking
992,Problem reported in Public Toilets area at Old Town causing inconvenience.,Public Toilets
993,Problem reported in Taxi Services area at Park Avenue causing inconvenience.,Taxi Services
994,Problem reported in Public Markets area at Downtown causing inconvenience.,Public Markets
995,Problem reported in Public Events Noise area at Riverbank causing inconvenience.,Public Events Noise
996,Problem reported in Building Maintenance area at Riverbank causing inconvenience.,Building Maintenance
997,Problem reported in Public Parks Safety area at Main Street causing inconvenience.,Public Parks Safety
998,Problem reported in Bridge Maintenance area at North End causing inconvenience.,Bridge Maintenance
999,Problem reported in Water Leak Detection area at Main Street causing inconvenience.,Water Leak Detection
1000,Problem reported in Public Schools Maintenance area at Sector 9 causing inconvenience.,Public Schools Maintenance
